bucket,n,predEdgePct,realEdgePct,gapPct,market,spec
2-3%,59,2.4940083591923177,-9.851601952724694,12.345610311917012,h2h,gbm
3-5%,148,4.028302526405706,-21.812138439992353,25.84044096639806,h2h,gbm
5-7%,115,5.926072790340723,-15.158298044224969,21.084370834565693,h2h,gbm
7-10%,176,8.406858241650614,-3.97636024661251,12.383218488263124,h2h,gbm
10%+,939,23.604853921758433,6.219075430178362,17.38577849158007,h2h,gbm
<0%,860,-0.8474702956443944,-1.7577964009424547,0.9103261052980604,h2h,price
0-1%,536,0.4401067913640744,-0.09237446368739512,0.5324812550514695,h2h,price
1-2%,228,1.401379517069953,-12.818425140128959,14.219804657198912,h2h,price
2-3%,46,2.313644487017965,-21.090776613748563,23.404421100766527,h2h,price
3-5%,9,3.478645407717983,-78.20512820512818,81.68377361284615,h2h,price
5-7%,0,,,,h2h,price
7-10%,0,,,,h2h,price
10%+,1,10.116769941075166,-100.0,110.11676994107516,h2h,price
<0%,178,-0.8688624025574614,-1.2627580980032007,0.3938956954457393,h2h,price+gbm+iso
0-1%,110,0.5256834037810084,-0.25685778424981887,0.7825411880308273,h2h,price+gbm+iso
1-2%,109,1.5724648112269657,0.7631682095932049,0.8092966016337608,h2h,price+gbm+iso
2-3%,116,2.512766071611493,6.391967244102685,-3.879201172491192,h2h,price+gbm+iso
3-5%,219,3.8979748219445933,-0.3912839063434082,4.289258728288002,h2h,price+gbm+iso
5-7%,198,5.98847231094721,-7.039861590014612,13.028333900961822,h2h,price+gbm+iso
7-10%,221,8.383520885432112,1.264234090856139,7.119286794575974,h2h,price+gbm+iso
10%+,529,16.94354071999636,7.723700294117624,9.219840425878736,h2h,price+gbm+iso
<0%,3563,-2.483807071521244,-3.331098460395999,0.8472913888747549,batter_runs_scored,gbm
0-1%,755,0.5109047476351346,0.5042778901719813,0.0066268574631532795,batter_runs_scored,gbm
1-2%,722,1.4938165911699786,-0.28284388833354546,1.7766604795035241,batter_runs_scored,gbm
2-3%,747,2.4961060252616685,1.7716711029766998,0.7244349222849686,batter_runs_scored,gbm
3-5%,1281,4.002263671663071,-0.5248691082736664,4.527132779936737,batter_runs_scored,gbm
5-7%,1079,5.971929244941256,3.5537589727572967,2.4181702721839593,batter_runs_scored,gbm
7-10%,1234,8.430723243728456,-1.5224514146543242,9.95317465838278,batter_runs_scored,gbm
10%+,2231,16.78699711314827,2.1701006128755305,14.616896500272741,batter_runs_scored,gbm
<0%,3824,-1.1644864106537702,-0.14405063666289933,-1.020435773990871,batter_runs_scored,price
0-1%,1796,0.4967037848362894,0.17239675793782402,0.32430702689846536,batter_runs_scored,price
1-2%,1771,1.4878085428054642,0.3725481299596261,1.115260412845838,batter_runs_scored,price
2-3%,1306,2.4643493304954776,-1.8222587172602482,4.286608047755726,batter_runs_scored,price
3-5%,1638,3.861384403346111,-0.7063609960330722,4.5677453993791834,batter_runs_scored,price
5-7%,761,5.852097782537456,-0.7121465924914516,6.564244375028908,batter_runs_scored,price
7-10%,388,8.176813664586199,2.513335116893772,5.663478547692426,batter_runs_scored,price
10%+,128,11.872193956510294,18.855273699917056,-6.983079743406762,batter_runs_scored,price
<0%,4745,-2.2859689335814926,-1.2609604024651146,-1.025008531116378,batter_runs_scored,price+gbm+iso
0-1%,1070,0.4831586183464969,-3.3922456096672735,3.8754042280137706,batter_runs_scored,price+gbm+iso
1-2%,1017,1.5015693260982335,-1.293146142801733,2.7947154688999665,batter_runs_scored,price+gbm+iso
2-3%,862,2.4960249236227394,1.2929877909518743,1.203037132670865,batter_runs_scored,price+gbm+iso
3-5%,1491,3.952624850716,0.2076503674795469,3.744974483236453,batter_runs_scored,price+gbm+iso
5-7%,1015,5.943115041974535,1.1506262782872196,4.792488763687315,batter_runs_scored,price+gbm+iso
7-10%,795,8.319134423603288,4.736699601275896,3.582434822327391,batter_runs_scored,price+gbm+iso
10%+,617,13.988704278218874,3.5834052349442604,10.405299043274614,batter_runs_scored,price+gbm+iso
<0%,503,-2.7468238981316477,-2.0543882938067806,-0.6924356043248672,pitcher_outs,gbm
0-1%,129,0.48888311523831346,-5.12173612358636,5.610619238824674,pitcher_outs,gbm
1-2%,93,1.4964757987513146,-20.98537879367787,22.481854592429187,pitcher_outs,gbm
2-3%,106,2.482895517203003,-0.6052104238532959,3.088105941056299,pitcher_outs,gbm
