arm,innerCut,market,spec,nMembers,tau,collapse,side,aN,aUnits,aPass,bN,bRoi,bUnits
off,0.5,batter_hits,compact+box,2,0.01,maxEv,both,207,3.6,0,209,8.744,18.28
off,0.6,batter_hits,compact+box,2,0.01,maxEv,both,238,2.17,0,178,11.072,19.71
off,0.7,batter_hits,compact+box,2,0.01,maxEv,both,268,8.12,0,148,9.296,13.76
off,0.5,batter_hits,compact+box,2,0.02,maxEv,both,177,4.84,0,174,12.767,22.21
off,0.6,batter_hits,compact+box,2,0.02,maxEv,both,202,6.3,0,149,13.931,20.76
off,0.7,batter_hits,compact+box,2,0.02,maxEv,both,223,10.62,0,128,12.841,16.44
off,0.5,batter_hits,compact+box,2,0.04,maxEv,both,137,1.63,0,140,12.861,18.01
off,0.6,batter_hits,compact+box,2,0.04,maxEv,both,153,0.92,0,124,15.095,18.72
off,0.7,batter_hits,compact+box,2,0.04,maxEv,both,168,3.18,0,109,15.101,16.46
off,0.5,batter_hits,compact+box,2,0.0,mostBooks,both,252,-3.1,0,250,8.91,22.27
off,0.6,batter_hits,compact+box,2,0.0,mostBooks,both,288,-6.35,0,214,11.925,25.52
off,0.7,batter_hits,compact+box,2,0.0,mostBooks,both,327,2.77,0,175,9.377,16.41
off,0.5,batter_hits,compact+box,2,0.01,mostBooks,both,207,3.55,0,209,8.744,18.28
off,0.6,batter_hits,compact+box,2,0.01,mostBooks,both,238,2.12,0,178,11.072,19.71
off,0.7,batter_hits,compact+box,2,0.01,mostBooks,both,268,8.07,0,148,9.296,13.76
off,0.5,batter_hits,compact+box,2,0.02,mostBooks,both,177,4.79,0,174,12.767,22.21
off,0.6,batter_hits,compact+box,2,0.02,mostBooks,both,202,6.25,0,149,13.931,20.76
off,0.7,batter_hits,compact+box,2,0.02,mostBooks,both,223,10.57,0,128,12.841,16.44
off,0.5,batter_hits,compact+box,2,0.04,mostBooks,both,137,1.63,0,140,12.861,18.01
off,0.6,batter_hits,compact+box,2,0.04,mostBooks,both,153,0.92,0,124,15.095,18.72
off,0.7,batter_hits,compact+box,2,0.04,mostBooks,both,168,3.18,0,109,15.101,16.46
on,0.5,batter_hits,compact+box,2,0.0,maxEv,both,213,0.9,0,134,11.703,15.68
on,0.6,batter_hits,compact+box,2,0.0,maxEv,both,236,2.86,0,111,12.365,13.73
on,0.7,batter_hits,compact+box,2,0.0,maxEv,both,247,2.55,0,100,14.03,14.03
on,0.5,batter_hits,compact+box,2,0.01,maxEv,both,197,2.96,0,124,10.408,12.91
on,0.6,batter_hits,compact+box,2,0.01,maxEv,both,210,2.14,0,111,12.365,13.73
on,0.7,batter_hits,compact+box,2,0.01,maxEv,both,221,1.84,0,100,14.03,14.03
on,0.5,batter_hits,compact+box,2,0.02,maxEv,both,194,2.96,0,124,10.408,12.91
on,0.6,batter_hits,compact+box,2,0.02,maxEv,both,207,2.14,0,111,12.365,13.73
on,0.7,batter_hits,compact+box,2,0.02,maxEv,both,218,1.84,0,100,14.03,14.03
on,0.5,batter_hits,compact+box,2,0.04,maxEv,both,150,6.39,0,123,9.899,12.18
on,0.6,batter_hits,compact+box,2,0.04,maxEv,both,163,5.57,0,110,11.814,13.0
on,0.7,batter_hits,compact+box,2,0.04,maxEv,both,174,5.27,0,99,13.434,13.3
on,0.5,batter_hits,compact+box,2,0.0,mostBooks,both,213,0.78,0,134,11.703,15.68
on,0.6,batter_hits,compact+box,2,0.0,mostBooks,both,236,2.74,0,111,12.365,13.73
on,0.7,batter_hits,compact+box,2,0.0,mostBooks,both,247,2.44,0,100,14.03,14.03
on,0.5,batter_hits,compact+box,2,0.01,mostBooks,both,197,2.96,0,124,10.408,12.91
on,0.6,batter_hits,compact+box,2,0.01,mostBooks,both,210,2.14,0,111,12.365,13.73
on,0.7,batter_hits,compact+box,2,0.01,mostBooks,both,221,1.84,0,100,14.03,14.03
on,0.5,batter_hits,compact+box,2,0.02,mostBooks,both,194,2.96,0,124,10.408,12.91
on,0.6,batter_hits,compact+box,2,0.02,mostBooks,both,207,2.14,0,111,12.365,13.73
on,0.7,batter_hits,compact+box,2,0.02,mostBooks,both,218,1.84,0,100,14.03,14.03
on,0.5,batter_hits,compact+box,2,0.04,mostBooks,both,150,6.39,0,123,9.899,12.18
on,0.6,batter_hits,compact+box,2,0.04,mostBooks,both,163,5.57,0,110,11.814,13.0
on,0.7,batter_hits,compact+box,2,0.04,mostBooks,both,174,5.27,0,99,13.434,13.3
off,0.5,batter_hits,compact+gbm,2,0.0,maxEv,under,272,10.47,0,213,11.857,25.26
off,0.6,batter_hits,compact+gbm,2,0.0,maxEv,under,311,5.2,0,174,17.542,30.52
off,0.7,batter_hits,compact+gbm,2,0.0,maxEv,under,338,10.59,0,147,17.094,25.13
off,0.5,batter_hits,compact+gbm,2,0.01,maxEv,under,253,12.37,0,196,12.906,25.3
off,0.6,batter_hits,compact+gbm,2,0.01,maxEv,under,287,7.48,0,162,18.637,30.19
off,0.7,batter_hits,compact+gbm,2,0.01,maxEv,both,350,11.8,0,157,14.663,23.02
off,0.5,batter_hits,compact+gbm,2,0.02,maxEv,both,242,10.77,0,195,10.143,19.78
off,0.6,batter_hits,compact+gbm,2,0.02,maxEv,under,261,7.26,0,145,17.201,24.94
off,0.7,batter_hits,compact+gbm,2,0.02,maxEv,under,280,9.83,0,126,17.759,22.38
off,0.5,batter_hits,compact+gbm,2,0.04,maxEv,both,187,11.66,0,127,13.058,16.58
off,0.6,batter_hits,compact+gbm,2,0.04,maxEv,both,209,9.53,0,105,17.823,18.71
off,0.7,batter_hits,compact+gbm,2,0.04,maxEv,both,219,12.95,0,95,16.092,15.29
off,0.5,batter_hits,compact+gbm,2,0.0,mostBooks,under,272,10.05,0,213,11.829,25.2
off,0.6,batter_hits,compact+gbm,2,0.0,mostBooks,under,311,4.78,0,174,17.508,30.46
off,0.7,batter_hits,compact+gbm,2,0.0,mostBooks,under,338,10.17,0,147,17.053,25.07
off,0.5,batter_hits,compact+gbm,2,0.01,mostBooks,under,253,11.95,0,196,12.876,25.24
off,0.6,batter_hits,compact+gbm,2,0.01,mostBooks,under,287,7.06,0,162,18.6,30.13
off,0.7,batter_hits,compact+gbm,2,0.01,mostBooks,both,350,11.38,0,157,14.625,22.96
off,0.5,batter_hits,compact+gbm,2,0.02,mostBooks,both,242,10.47,0,195,10.112,19.72
off,0.6,batter_hits,compact+gbm,2,0.02,mostBooks,under,261,6.96,0,145,17.16,24.88
off,0.7,batter_hits,compact+gbm,2,0.02,mostBooks,under,280,9.53,0,126,17.712,22.32
