spec,tau,minConf,selectPasses,selectUnits,selectN,nMembers
box+offset,0.02,0,5,468.5,41878,2
box+offset,0.01,0,5,423.4,48810,2
price+box+offset,0.04,0,5,377.7,23067,3
box+gbm+offset,0.02,0,5,350.9,42421,3
box+gbm+offset,0.04,0,5,343.1,29269,3
price+box,0.04,0,5,325.5,19536,2
price+offset,0.04,0,5,297.1,19416,2
price+compact+offset,0.04,0,5,295.5,18325,3
compact,0.02,0,5,249.8,37267,1
price+gbm+iso,0.0,0,5,221.0,53946,3
box+gbm+offset,0.0,0,5,200.3,56288,3
price+compact+offset,0.0,0,5,191.7,58030,3
price+compact,0.04,0,5,187.8,12821,2
offset,0.0,0,5,186.8,55536,1
compact+box+offset,0.02,55,5,177.0,15376,3
gbm+offset,0.02,0,5,168.3,43119,2
price+box+gbm,0.02,55,5,162.3,14418,3
box+offset,0.0,0,5,155.9,55595,2
compact,0.04,0,5,155.0,19210,1
gbm+offset+iso,0.04,55,5,154.6,10885,3
compact+box,0.01,55,5,154.4,18045,2
price+compact+iso,0.01,55,5,151.9,15240,3
compact+box+offset,0.01,60,5,150.0,12572,3
box+gbm,0.02,0,5,149.9,43291,2
box+offset,0.02,55,5,148.6,17028,2
compact+offset,0.01,60,5,148.5,11646,2
compact+box+offset,0.02,60,5,147.4,9960,3
box,0.02,55,5,146.7,17371,1
compact+box,0.01,60,5,146.2,11951,2
price+box,0.02,55,5,143.2,13688,2
price+offset,0.02,55,5,142.5,13233,2
box+offset+iso,0.02,0,5,140.7,40676,3
gbm+offset,0.01,0,5,139.4,49921,2
compact+box,0.04,60,5,138.2,5362,2
compact,0.01,0,5,135.5,47691,1
compact+offset,0.04,60,5,133.5,4944,2
compact+box+offset,0.04,60,5,133.4,5976,3
compact,0.01,55,5,133.0,16317,1
price+compact+offset,0.04,55,5,132.9,6518,3
price+compact+box,0.04,55,5,131.3,6740,3
box+gbm,0.01,55,5,130.2,19583,2
price+box+offset,0.01,60,5,128.4,12574,3
gbm+offset+iso,0.02,55,5,127.2,15389,3
gbm+offset,0.01,55,5,124.8,19285,2
gbm+iso,0.04,55,5,120.2,11688,2
price+compact,0.02,55,5,116.0,11087,2
price+compact+gbm,0.02,60,5,115.3,8280,3
gbm+iso,0.02,55,5,115.0,15692,2
box+gbm,0.01,0,5,114.4,50097,2
price+compact+box,0.01,55,5,114.2,17133,3
price+compact+box,0.0,60,5,113.4,14751,3
gbm+iso,0.01,55,5,113.2,17958,2
compact+gbm+offset,0.04,60,5,112.4,5765,3
box+gbm+iso,0.01,60,5,108.6,13225,3
price+compact+offset,0.0,60,5,108.1,14542,3
compact+box+gbm,0.04,60,5,108.0,6148,3
price+box,0.04,55,5,106.4,7217,2
gbm+offset+iso,0.01,60,5,106.2,13076,3
price+offset,0.04,60,5,103.7,3479,2
compact+box+iso,0.0,55,5,103.0,20405,3
compact+gbm+iso,0.01,60,5,103.0,11856,3
price+compact+iso,0.0,55,5,102.9,19011,3
price+box,0.04,60,5,98.4,3861,2
price+box,0.01,60,5,97.2,12084,2
compact+iso,0.04,55,5,97.1,9256,2
box+gbm+offset,0.01,55,5,96.6,19612,3
box,0.02,60,5,96.4,11942,1
gbm+offset+iso,0.0,55,5,96.1,20785,3
price+compact,0.01,55,5,92.0,16069,2
price+offset,0.01,60,5,90.3,11760,2
price+offset,0.04,55,5,89.4,6899,2
price+box+offset,0.04,60,5,88.0,5096,3
compact+offset+iso,0.0,55,5,87.5,20167,3
compact+iso,0.02,55,5,87.1,13573,2
price+gbm,0.04,60,5,86.2,5303,2
price+offset+iso,0.04,55,5,84.9,8376,3
price+box+iso,0.04,55,5,84.7,8513,3
price+box+iso,0.02,55,5,83.5,13586,3
price+box+iso,0.01,55,5,82.8,16890,3
price+box+gbm,0.01,55,5,82.3,17995,3
box+iso,0.02,0,5,81.6,41297,2
box+gbm+iso,0.0,60,5,81.1,15311,3
box+iso,0.02,55,5,80.0,16081,2
gbm+offset+iso,0.0,60,5,77.1,15153,3
price+compact+box,0.0,0,5,76.9,58425,3
price+offset,0.0,60,5,76.5,15439,2
offset,0.01,55,5,76.3,19845,1
price+box+offset,0.01,55,5,75.0,18775,3
price+offset+iso,0.02,55,5,73.8,13390,3
box+gbm+iso,0.02,60,5,72.5,11225,3
box+offset+iso,0.04,0,5,71.7,28975,3
price+gbm+iso,0.0,60,5,69.8,14011,3
compact+gbm+iso,0.0,60,5,68.3,14064,3
price+offset+iso,0.01,55,5,66.0,16696,3
offset,0.01,60,5,63.8,13852,1
compact,0.0,0,5,62.1,57254,1
price+box+offset,0.0,60,5,60.7,15751,3
box+gbm,0.01,60,5,60.2,13916,2
offset+iso,0.02,55,5,57.8,15789,2
price+gbm+iso,0.01,60,5,57.2,11641,3
gbm+offset+iso,0.02,60,5,55.1,11087,3
gbm+offset+iso,0.04,60,5,51.0,7571,3
box+iso,0.04,55,5,50.8,11716,2
gbm+iso,0.01,60,5,49.3,13384,2
compact,0.0,55,5,47.4,20372,1
box+gbm,0.0,60,5,47.3,16189,2
box+gbm+offset,0.0,60,5,47.2,16195,3
offset+iso,0.04,55,5,46.3,11489,2
gbm+offset,0.01,60,5,46.1,13675,2
box+offset+iso,0.04,60,5,43.9,7516,3
box+gbm+offset,0.0,55,5,42.9,22741,3
compact+iso,0.01,55,5,39.8,16300,2
gbm+iso,0.04,60,5,39.0,8461,2
price+compact+gbm,0.01,60,5,38.6,11293,3
box+offset+iso,0.0,0,5,37.3,53528,3
price+iso,0.01,60,5,36.4,11583,2
box+gbm+offset,0.01,60,5,31.4,13805,3
gbm+iso,0.0,60,5,31.0,15184,2
price+box+iso,0.0,60,5,30.7,14565,3
price+box+iso,0.02,60,5,29.7,9360,3
price+box+iso,0.04,60,5,29.4,5569,3
price+gbm+offset,0.0,55,5,25.8,21608,3
gbm+offset,0.0,60,5,25.6,15920,2
price+iso,0.02,60,5,20.8,9106,2
price+iso,0.02,55,5,20.2,12672,2
box+offset+iso,0.01,60,5,20.2,13231,3
box,0.0,55,5,19.1,23801,1
price+offset+iso,0.0,60,5,19.1,14383,3
offset,0.0,60,5,18.2,16427,1
price+offset+iso,0.02,60,5,18.0,9216,3
price+compact+offset,0.0,55,5,15.2,21391,3
price+gbm+iso,0.02,60,5,15.1,9444,3
box+iso,0.04,60,5,13.0,8076,2
price+compact+gbm,0.0,60,5,9.0,14407,3
offset+iso,0.04,60,5,8.0,7912,2
box+iso,0.02,60,5,7.4,11466,2
price+iso,0.04,55,5,4.3,7890,2
box+offset+iso,0.0,60,5,3.3,15610,3
price+iso,0.0,60,5,0.7,13944,2
price+iso,0.01,55,5,-0.9,15885,2
box+offset,0.0,55,5,-3.5,23437,2
offset+iso,0.01,55,5,-4.3,18362,2
offset+iso,0.02,0,5,-5.9,41106,2
price+compact+box,0.0,55,5,-8.3,21686,3
box+iso,0.01,60,5,-11.6,13452,2
offset+iso,0.02,60,5,-14.1,11257,2
box+iso,0.0,55,5,-15.5,21415,2
offset+iso,0.01,60,5,-24.0,13246,2
gbm,0.0,55,5,-25.4,22579,1
offset+iso,0.0,55,5,-27.0,21103,2
offset,0.0,55,5,-46.3,23126,1
box+iso,0.0,60,5,-48.8,15562,2
offset+iso,0.0,60,5,-50.8,15342,2
box+iso,0.01,0,5,-56.4,47286,2
offset+iso,0.01,0,5,-58.9,47165,2
price+iso,0.04,0,5,-69.7,23543,2
price+box+offset,0.0,55,5,-78.6,22778,3
gbm+iso,0.02,0,5,-86.1,43073,2
box+iso,0.04,0,5,-118.1,30312,2
iso,0.02,55,5,-123.8,16868,1
